STRING ID,DESCRIPTION,en,fr,es,de,it,br,pt,ru,el,tr,da,nb,sv,nl,pl,fi,ja,zh,lzh,ko,cs,hu,ro,th,bg,he,ar,bs
LANGUAGE_CODE,IETF language tag(s) without dash,enUS enGB,frFR,esES esAR esMX,deDE deCH deAT,itIT itCH,ptBR,ptPT,ruRU,elGR,trTR,daDK,noNB,svSE,nlNL,plPL,fiFI,jaJP,zhCN zhSG,zhTW zhHK zhMO,koKR,csCZ,huHU,roRO,thTH,bgBG,heIL,ar001,bsBS
LANGUAGE_EN,[LanguageName] in english,English,French,Spanish,German,Italian ,Portuguese (Brazil),Portuguese,Russian,Greek,Turkish,Danish,Norwegian,Swedish,Dutch,Polish,Finnish,Japanese,Simplified Chinese,Traditional Chinese,Korean,Czech,Hungarian,Romanian,Thai,Bulgarian,Hebrew,Arabic,Bosnian
LANGUAGE_DIRECTION,ltr or rtl (text direction used by game code),ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,rtl,rtl,ltr
CONTEXT_CHARACTER_CLASS,[Noun] Character class,Class,Classe,Clase,Klasse,Classe,Classe,Classe,Класс,Κλάση,Sınıf,Klasse,Klasse,Klass,Klasse,Klasa,Luokka,クラス,角色种类,角色類,직업,Třída,Osztály,Clasă,คลาส,Клас,טיפוס,فئة,Klasa
CONTEXT_ITEM_DIE_NOUN,"[Noun] [Noun] As in ""throw the die""",Die,Dé,Dado,Würfel,Dado,Dado,Dado,Кубик,ζάρι,Zar,Terning,Terning,Tärning,Dobbelsteen,Kość,Noppa,サイコロ,骰子,骰子,주사위,Kostka,Kocka,Zar,ตาย,Зар,קוביה,حجر نرد,Smrt
ERROR_DEVICE_NOT_FOUND,Use {0} in place of [device],No {0} detected.,Aucun {0} détecté.,No se detectó {0}.,{0} nicht erkannt.,Nessun {0} trovato.,{0} não encontrado.,O dispositivo {0} não foi detectado.,{0} не обнаружен.,Δεν εντοπίστηκε {0}.,{0} aygıt algılanamadı.,Ingen {0} fundet.,Ingen {0} funnet.,{0} kunde inte hittas.,Geen {0} gevonden.,Nie wykryto {0}.,{0} ei havaittu.,{0} が接続されていません。,未检测到{0}。,未檢測到{0}。,{0}을(를) 찾을 수 없습니다.,Zařízení {0} nenalezeno.,{0} nem található.,Nu s-a detectat niciun {0}.,ตรวจไม่พบอุปกรณ์ {0},Няма засечен {0}.,לא נמצא רכיב {0}.,لم يتواجد {0},Nije Pronađeno
ERROR_GENERIC_TEXT,,An error has occured.,Une erreur s'est produite.,Ha ocurrido un error.,Ein Fehler ist aufgetreten.,È stato riscontrato un errore.,Ocorreu um erro.,Ocorreu um erro.,Произошла ошибка.,Γενικό σφάλμα.,Bir hata oluştu.,Der er sket en fejl.,Det har skjedd en feil.,Ett fel har uppstått.,Er is een fout opgetreden.,Wystąpił jakiś błąd.,On tapahtunut virhe.,エラーが発生しました。,发生了错误。,發生了錯誤。,오류가 발생했습니다.,Vyskytla se chyba.,Hiba történt.,A apărut o eroare.,เกิดความผิดพลาดบางประการ,Възникна грешка.,ארעה טעות.,حصل خطأ ما,Došlo je do Greške
MENU_LABEL_PRESS_START,"""Start"" is a literal button name",Press Start,Appuyez sur Start,Pulsa Start,Drücke Start,Premi Start,Pressione Start,Carrega no Start,Нажмите Start,Πάτα Έναρξη,Başla'ya bas,Tryk Start,Trykk Start,Tryck start,Druk op Start,Naciśnij Start,Paina Start,STARTボタンを押す,按下开始,按下開始,‘시작’을 누르세요,Stiskněte start,Nyomd meg a startot,Apasă Start,กดปุ่ม start,Натиснете Start,לחץ התחל,اضغط زر البدأ,Pritisnite Start
MENU_IO_PLEASE_WAIT,,Please wait...,Veuillez patienter...,Por favor espera...,Bitte warten,Attendi...,Por favor aguarde…,Aguarde por favor...,Подождите немного...,Περίμενε παρακαλώ,Lütfen bekleyiniz...,Vent venligst...,Venligst vent...,Var vänlig vänta...,Even geduld...,Proszę czekać...,Odota hetki...,お待ちください…,请等待...,請等待...,잠시만 기다려 주세요,Prosím čekejte...,Kis türelmet...,Vă rugăm să așteptați...,กรุณารอซักครู่,"Моля, изчакайте...",אנא המתן,الرجاء الانتظار...,Molimo Sačekajte...
GAME_TITLE,,Just Keep Chasing,Continuez simplement à courir après,Solo sigue persiguiendo,Verfolge einfach weiter,Continua a inseguire,Apenas continue perseguindo,Apenas continue perseguindo,Просто продолжай преследовать,Συνέχισε να κυνηγάς,Sadece Takip Etmeye Devam Edin,Bare fortsæt med at jagte,Bare fortsett å jage,Fortsätt bara jaga,Blijf gewoon jagen,Po prostu goń dalej,Jatka vain jahtaamista,ただ追いかけ続ける,只要继续追逐,只要继续追逐,그냥 계속 쫓으세요,Jen tak dál,Csak folytasd az üldözést,Continuați să urmăriți,เพียงแค่ไล่ตาม,Просто продължавайте да гоните,פשוט תמשיך לרדוף,فقط استمر في المطاردة,Samo nastavi juriti
